objectid,parentid,title,interviewee,interviewer,creator,date,archival date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,pdf,bio
fullwood-a,,Interview with Allen Fullwood,,Samantha Kinton; Sara Proper,AppState Student Interview Collection,11/9/2024,,"Allen Fullwood graduated from Olive Hill High School in 1959 when schools were still segregated. In 1961, Fullwood attended a small college in South Carolina and participated in sit ins in Rock Hill alongside his classmates and teammates. Morganton had an abundance of mimosa trees during this time period and was known as Mimosa City. â€œBut beneath that great fragrance was the stench of segregation.â€",Allen Fullwood; desegregation; oral history; primary source,"Morganton, North Carolina",35.7368,-81.6918,"AppState Student Interviews, Dr. Leslie D. McKesson",fullwood-a,record,compound_object,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,transcript,https://www.youtube.com/watch?v=_PFladQfVxk,,,,
fullwood-a-photo,fullwood-a,Photo of Allen Fullwood,,,AppState Student Interview Collection,11/9/2024,,,,"Morganton, North Carolina",35.7368,-81.6918,"AppState Student Interviews, Dr. Leslie D. McKesson",fullwood-a-photo,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/fullwood-allen-img.jpg,,,,
lytle,,Interview with Andrea Chambers Lytle,,Sara Proper,AppState Student Interview Collection,11/9/2024,,"Andrea Chambers Lytle attended Mountain View Elementary School until fifth grade. She was in the first wave of desegregation and in 1963 was moved to Central School downtown, a formerly white school. She was wrongly placed into special ed classes and forced to repeat fifth grade two years later in 1965 when she was transferred to Forest Hill Elementary.",Andrea Chambers Lytle; desegregation; oral history; primary source,"Morganton, North Carolina",35.7368,-81.6918,"AppState Student Interviews, Dr. Leslie D. McKesson",lytle,record,compound_object,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,transcript,https://www.youtube.com/watch?v=vfpbKGRbVBI,,,,
lytle-photo,lytle,Photo of Andrea Chambers Lytle,,,AppState Student Interview Collection,11/9/2024,,,,"Morganton, North Carolina",35.7368,-81.6918,"AppState Student Interviews, Dr. Leslie D. McKesson",lytle-photo,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/chambers-img.jpg,,,,
carlton,,Interview with Beverly Carlton,,Lexi Robinson,AppState Student Interview Collection,11/9/2024,,"Beverly Forney Carlton grew up in Morganton under Jim Crow with no unsupervised trips outside of her neighborhood. After Mountain View Elementary opened in 1958, Carlton walked 41 minutes or two miles to school across town. She states that walking through town required hyperviligance that â€œyou donâ€™t step on land bombs.â€ After her parents and other families appeared before the school board to ask for transportation, they reassigned the complainants to white schools closer to their homes. Carlton felt unprepared for the pain and hostility she experienced when she was reassigned to Central School downtown for 1963 and 1964 school years. As integration went on, Carlton says â€œthe atmosphere was never truly welcoming.â€",Beverly Carlton; oral history; primary source,"Morganton, North Carolina",35.7368,-81.6918,"AppState Student Interviews, Dr. Leslie D. McKesson",carlton,record,compound_object,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,transcript,https://www.youtube.com/watch?v=CQfMR8_-WPs,,,,
carlton-photo,carlton,Photo of Beverly Carlton,,,AppState Student Interview Collection,11/9/2024,,,,"Morganton, North Carolina",35.7368,-81.6918,"AppState Student Interviews, Dr. Leslie D. McKesson",carlton-photo,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/carlton-img.jpg,,,,
largent,,Interview with Carol Largent,,Ashley Blanchard,AppState Student Interview Collection,11/9/2024,,"Carol Largent attended Mountain View Elementary School from kindergarten to fourth grade. In 1965, she was moved to Hillcrest Elementary, a formerly all-white school, for fourth grade. She was raised by a single mother who worked as a domestic laborer, cooking, cleaning, and catering. She grew up in a small neighborhood on a gravel road surrounded by her large extended family. Even though Hillcrest was the school closest to her home, she had never seen it. As a child, all she knew about desegregation was it meant going to a different school, a school she had never seen. She recalls her uncle â€œpiling all of us in the car and driving us over to Hillcrest so we could see the school.â€",Carol Largent; oral history; primary source,"Morganton, North Carolina",35.7368,-81.6918,"AppState Student Interviews, Dr. Leslie D. McKesson",largent,record,compound_object,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,transcript,https://www.youtube.com/watch?v=Sxf6TtCYdjc,,,,
largent-photo,largent,Photo of Carol Largent,,,AppState Student Interview Collection,11/9/2024,,,,"Morganton, North Carolina",35.7368,-81.6918,"AppState Student Interviews, Dr. Leslie D. McKesson",largent-photo,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/largent-img.jpg,,,,
poole,,Interview with Carol Poole,,,AppState Student Interview Collection,11/9/2024,,Carol Poole speaks with AppState students about her experiences as one of the first Black students to desegregate Burke County public schools.,Carol Poole; oral history; primary source,"Morganton, North Carolina",35.7368,-81.6918,"AppState Student Interviews, Dr. Leslie D. McKesson",poole,record,compound_object,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,transcript,https://www.youtube.com/watch?v=pyYArZY7IOM,,,,
poole-photo,poole,Photo of Carol Poole,,,AppState Student Interview Collection,11/9/2024,,,,"Morganton, North Carolina",35.7368,-81.6918,"AppState Student Interviews, Dr. Leslie D. McKesson",poole-photo,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/poole-img.jpg,,,,
